,処理対象,No.,保険会社,保険商品,保険料,保険期間払込期間,特　徴,付加済
46,,47,メットライフ生命保険株式会社,マイディアレスト(喫煙保険料率　確定保証期間2年),"3,960円",65歳65歳満了,※この商品は基本コース(Ⅰ型)です遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
47,,48,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(非喫煙者優良体),"3,970円",65歳満了65歳満了,※非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
48,,49,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(SD非喫煙者標準体),"4,020円",65歳満了65歳満了,※SD非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
49,,50,ソニー生命保険,家族収入保険（最低支払保証期間２年）,"4,070円",65歳65歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
50,,51,メディケア生命保険（住友生命グループ）,メディフィット収入保障　喫煙者料率　年金支払保証期間2年　３大疾病保険料払込免除特約あり,"4,092円",65歳満了65歳満了,収入保障年金：月額10万円高度障害年金：月額10万円年金支払保証期間：2年＊喫煙者料率＊３大疾病保険料払込免除特約あり上皮内がんでも、以後の保険料はいただきません。,
51,,52,FWD富士生命保険株式会社,FWD収入保障〔喫煙者標準体/最低支払保証期間2年〕,"4,118円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
52,,53,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(非喫煙者標準体),"4,120円",65歳満了65歳満了,※非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
53,,54,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・標準体),"4,277円",65歳65歳払,年金月額：10万円年金支払保証期間：2年※標準体保険料率,
54,,55,東京海上日動あんしん生命,家計保障定期保険NEO(最低支払保証期間2年) 特定疾病保険料払込免除特則付加,"4,310円",65歳まで65歳まで,＊標準料率遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
55,,56,ソニー生命保険,生活保障特則14付家族収入保険（最低支払保証期間２年・非喫煙者優良体保険料率）,"4,320円",65歳65歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
56,,57,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(SD非喫煙者標準体),"4,330円",65歳満了65歳満了,※SD非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
57,,58,FWD富士生命保険株式会社,FWD収入保障〔喫煙者標準体/最低支払保証期間2年〕　3大疾病保険料払込免除特約Ⅱ付加,"4,428円",65歳65歳,遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
58,,59,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(非喫煙者標準体),"4,440円",65歳満了65歳満了,※非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
59,,60,ソニー生命保険,家族収入保険（最低支払保証期間２年）,"4,489円",65歳65歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
60,,61,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・標準体) 特定疾病保険料払込免除特約(2018)Ⅰ型,"4,519円",65歳65歳払,年金月額：10万円年金支払保証期間：2年※特定疾病保険料払込免除特約(2018)Ⅰ型付加※標準体保険料率,
61,,62,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(SD非喫煙者優良体),"4,520円",65歳満了65歳満了,※SD非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
62,,63,東京海上日動あんしん生命,家計保障定期保険NEO 就業不能保障プラン(最低支払保証期間2年・非喫煙者保険料率適用),"4,570円",65歳まで65歳まで,＊非喫煙者保険料率適用＊5疾病・重度介護家計保障特約(給付金：月額10万円/給付金支払期間2年)が付加されています。遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
63,,64,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・標準体) 特定疾病保険料払込免除特約(2018)Ⅱ型,"4,593円",65歳65歳払,年金月額：10万円年金支払保証期間：2年※特定疾病保険料払込免除特約(2018)Ⅱ型付加※標準体保険料率,
64,,65,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(非喫煙者優良体),"4,610円",65歳満了65歳満了,※非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
65,,66,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(標準体),"4,620円",65歳満了65歳満了,※標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
66,,67,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"4,650円",65歳65歳満了,※標準保険料率遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
67,,68,ネオファースト生命保険株式会社,ネオdeしゅうほ(年金支払保証期間2年・標準体) 特定疾病保険料払込免除特約(2018)Ⅲ型,"4,686円",65歳65歳払,年金月額：10万円年金支払保証期間：2年※特定疾病保険料払込免除特約(2018)Ⅲ型付加※標準体保険料率,
68,,69,東京海上日動あんしん生命,家計保障定期保険NEO 就業不能保障プランPlus(最低支払保証期間2年・非喫煙者保険料率適用),"4,750円",65歳まで65歳まで,＊非喫煙者保険料率適用＊5疾病・障害・重度介護家計保障特約(給付金：月額10万円/給付金支払期間2年)が付加されています。遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
69,,70,ソニー生命保険,生活保障特則14付家族収入保険（最低支払保証期間２年・非喫煙者優良体保険料率）,"4,765円",65歳65歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
70,,71,ソニー生命保険,生活保障特則14付家族収入保険（最低支払保証期間２年・非喫煙者標準体保険料率）,"4,880円",65歳65歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
71,,72,マニュライフ生命保険株式会社,こだわり収入保障(無解約返戻金型),"4,890円",65歳65歳満了,※標準保険料率　特定疾病保険料払込免除遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
72,,73,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(SD非喫煙者優良体),"4,890円",65歳満了65歳満了,※SD非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
73,,74,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(SD非喫煙者標準体),"4,950円",65歳満了65歳満了,※SD非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
74,,75,三井住友海上あいおい生命保険（株）,新総合収入保障(Ⅱ型)(最低支払保証期間2年)(標準体),"4,980円",65歳満了65歳満了,※標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：月額10万円確定保証期間：2年,
75,,76,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(非喫煙者優良体),"4,990円",65歳満了65歳満了,※非喫煙者優良体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
76,,77,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(非喫煙者標準体),"5,040円",65歳満了65歳満了,※非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
77,,78,アフラック,GIFT（標準体保険料率/支払保証期間2年） 三大疾病保険料払込免除特約なし,"5,130円",65歳65歳払済,家族生活保障月払年金：月額10万円高度障害月払年金：月額10万円確定保証期間：2年,
78,,79,アフラック,GIFT（標準体保険料率/支払保証期間2年） 三大疾病保険料払込免除特約付き,"5,330円",65歳65歳払済,家族生活保障月払年金：月額10万円高度障害月払年金：月額10万円確定保証期間：2年,
79,,80,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(SD非喫煙者標準体),"5,350円",65歳満了65歳満了,※SD非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
80,,81,ソニー生命保険,生活保障特則14付家族収入保険（最低支払保証期間２年・非喫煙者標準体保険料率）,"5,383円",65歳65歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
81,,82,東京海上日動あんしん生命,家計保障定期保険NEO 就業不能保障プラン(最低支払保証期間2年),"5,400円",65歳まで65歳まで,＊標準料率＊5疾病・重度介護家計保障特約(給付金：月額10万円/給付金支払期間2年)が付加されています。遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
82,,83,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(非喫煙者標準体),"5,440円",65歳満了65歳満了,※非喫煙者標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
83,,84,ソニー生命保険,生活保障特則14付家族収入保険（最低支払保証期間２年・標準体）,"5,480円",65歳65歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
84,,85,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(標準体),"5,550円",65歳満了65歳満了,※標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
85,,86,東京海上日動あんしん生命,家計保障定期保険NEO 就業不能保障プランPlus(最低支払保証期間2年),"5,620円",65歳まで65歳まで,＊標準料率＊5疾病・障害・重度介護家計保障特約(給付金：月額10万円/給付金支払期間2年)が付加されています。遺族年金：月額10万円高度障害年金：月額10万円最低支払保証期間：2年,
86,,87,三井住友海上あいおい生命保険（株）,新総合収入保障ワイド(Ⅳ型)(最低支払保証期間2年)(標準体),"5,990円",65歳満了65歳満了,※標準体保険料率収入保障年金：月額10万円高度障害年金：月額10万円生活障害年金：月額10万円生活介護年金：	月額10万円就労不能障害年金：月額10万円確定保証期間：2年,
87,,88,ソニー生命保険,生活保障特則14付家族収入保険（最低支払保証期間２年・標準体）,"6,044円",65歳65歳満了,遺族年金：月額10万円高度障害年金：月額10万円確定保証期間：2年,
88,,89,チューリッヒ生命,収入保障保険プレミアムDX（非喫煙優良体型） 年金支払保証期間2年,"8,590円",65歳65歳満了,＊非喫煙優良体型＊就業不能状態保険料払込免除特約が付加されています。収入保障年金：月額10万円高度障害年金：月額10万円就業不能年金：月額10万円年金支払保証期間：2年※入力可能金額以上でお申込できる場合もありますので、詳細はチューリッヒ生命の設計システムにてご確認ください。,
89,,90,チューリッヒ生命,収入保障保険プレミアムDX（標準体型） 年金支払保証期間2年,"11,210円",65歳65歳満了,＊標準体型＊就業不能状態保険料払込免除特約が付加されています。収入保障年金：月額10万円高度障害年金：月額10万円就業不能年金：月額10万円年金支払保証期間：2年※入力可能金額以上でお申込できる場合もありますので、詳細はチューリッヒ生命の設計システムにてご確認ください。,
